,Bitcoin,SnP 500
2021-03-01,49631.2421875,3901.820068359375
2021-03-02,48378.98828125,3870.2900390625
2021-03-03,50538.2421875,3819.719970703125
2021-03-04,48561.16796875,3768.469970703125
2021-03-05,48927.3046875,3841.93994140625
2021-03-06,48912.3828125,
2021-03-07,51206.69140625,
2021-03-08,52246.5234375,3821.35009765625
2021-03-09,54824.1171875,3875.43994140625
2021-03-10,56008.55078125,3898.81005859375
2021-03-11,57805.12109375,3939.340087890625
2021-03-12,57332.08984375,3943.340087890625
2021-03-13,61243.0859375,
2021-03-14,59302.31640625,
2021-03-15,55907.19921875,3968.93994140625
2021-03-16,56804.90234375,3962.7099609375
2021-03-17,58870.89453125,3974.1201171875
2021-03-18,57858.921875,3915.4599609375
2021-03-19,58346.65234375,3913.10009765625
2021-03-20,58313.64453125,
2021-03-21,57523.421875,
2021-03-22,54529.14453125,3940.590087890625
2021-03-23,54738.9453125,3910.52001953125
2021-03-24,52774.265625,3889.139892578125
2021-03-25,51704.16015625,3909.52001953125
2021-03-26,55137.3125,3974.5400390625
2021-03-27,55973.51171875,
2021-03-28,55950.74609375,
2021-03-29,57750.19921875,3971.090087890625
2021-03-30,58917.69140625,3958.550048828125
2021-03-31,58918.83203125,3972.889892578125
2021-04-01,59095.80859375,4019.8701171875
2021-04-02,59384.3125,
2021-04-03,57603.890625,
2021-04-04,58758.5546875,
2021-04-05,59057.87890625,4077.909912109375
2021-04-06,58192.359375,4073.93994140625
2021-04-07,56048.9375,4079.949951171875
2021-04-08,58323.953125,4097.169921875
2021-04-09,58245.00390625,4128.7998046875
2021-04-10,59793.234375,
2021-04-11,60204.96484375,
2021-04-12,59893.453125,4127.990234375
2021-04-13,63503.45703125,4141.58984375
2021-04-14,63109.6953125,4124.66015625
2021-04-15,63314.01171875,4170.419921875
2021-04-16,61572.7890625,4185.47021484375
2021-04-17,60683.8203125,
2021-04-18,56216.18359375,
2021-04-19,55724.265625,4163.259765625
2021-04-20,56473.03125,4134.93994140625
2021-04-21,53906.08984375,4173.419921875
2021-04-22,51762.2734375,4134.97998046875
2021-04-23,51093.65234375,4180.169921875
2021-04-24,50050.8671875,
2021-04-25,49004.25390625,
2021-04-26,54021.75390625,4187.6201171875
2021-04-27,55033.1171875,4186.72021484375
2021-04-28,54824.703125,4183.18017578125
